address_name,category_name,place_name,place_url,x,y
서울 종로구 낙원동 85-7,음식점 > 한식,호반,http://place.map.kakao.com/27269590,126.989146348574,37.5733001868081
서울 종로구 낙원동 221,음식점 > 한식 > 냉면,유진식당,http://place.map.kakao.com/8041476,126.9883179183545,37.57204231870933
서울 종로구 돈의동 131-1,음식점 > 한식 > 곰탕,영춘옥,http://place.map.kakao.com/8005800,126.991537361788,37.5713434211486
서울 종로구 권농동 182-6,"음식점 > 술집 > 호프,요리주점",서울집시 서순라길점,http://place.map.kakao.com/1191323603,126.9915550576752,37.57502488769612
서울 중구 을지로2가 101-32,음식점 > 한식 > 설렁탕,이남장 본점,http://place.map.kakao.com/10668060,126.988658328569,37.5666688146651
서울 종로구 권농동 187-7,음식점 > 양식 > 이탈리안,살롱순라,http://place.map.kakao.com/2025215095,126.9916796781889,37.57415093167226
서울 종로구 관수동 145-1,음식점 > 한식,종가만두,http://place.map.kakao.com/1580329739,126.98971182249424,37.56890878661336
서울 종로구 익선동 128-3,음식점 > 샤브샤브,온천집 익선,http://place.map.kakao.com/1803090740,126.98978921791807,37.57409672360898
서울 중구 을지로3가 346-1,음식점 > 한식 > 순대,청와옥 을지로3가직영점,http://place.map.kakao.com/502452137,126.99005065665251,37.56601481713346
서울 종로구 효제동 155,"음식점 > 한식 > 육류,고기",백제정육점,http://place.map.kakao.com/26967162,127.003952922261,37.5726446952293
서울 종로구 종로4가 165-11,"음식점 > 한식 > 육류,고기",부촌육회,http://place.map.kakao.com/21852953,126.999932082432,37.5703778574977
서울 종로구 종로5가 265-22,"음식점 > 한식 > 육류,고기 > 닭요리",진옥화할매원조닭한마리 본점,http://place.map.kakao.com/10785496,127.005696017003,37.5703380763098
서울 종로구 종로5가 138-25,음식점 > 한식,광장시장통큰누이네육회빈대떡,http://place.map.kakao.com/614661957,127.00117723880923,37.57043911933184
서울 중구 주교동 43-23,"음식점 > 한식 > 육류,고기 > 삼겹살",은주정,http://place.map.kakao.com/8050105,126.99975663427008,37.56867047080973
서울 종로구 종로4가 188,"음식점 > 간식 > 제과,베이커리",광장시장찹쌀꽈배기,http://place.map.kakao.com/1024788121,127.00040524305597,37.57066707631941
서울 종로구 예지동 269-27,"음식점 > 간식 > 제과,베이커리",아베베베이커리 서울,http://place.map.kakao.com/803688018,126.999943402662,37.5695381297673
서울 종로구 효제동 226-1,"음식점 > 한식 > 해물,생선 > 복어",억조,http://place.map.kakao.com/9246975,127.003640464789,37.5720860883432
서울 종로구 종로4가 177,"음식점 > 한식 > 육류,고기",육회자매집 본점1호점,http://place.map.kakao.com/8055849,126.999886803792,37.5705508485698
서울 종로구 종로5가 225-8,"음식점 > 한식 > 육류,고기 > 곱창,막창",더우리곱창,http://place.map.kakao.com/20526455,127.004432744934,37.5702372190197
서울 중구 오장동 101-7,음식점 > 한식 > 냉면,오장동흥남집 본점,http://place.map.kakao.com/8174854,127.00054103307872,37.56435740219144
서울 종로구 종로5가 265-8,"음식점 > 한식 > 육류,고기 > 닭요리",명동닭한마리 본점,http://place.map.kakao.com/14822693,127.005895245171,37.5703813143067
서울 종로구 종로5가 138-9,음식점 > 한식,순희네빈대떡,http://place.map.kakao.com/18755777,127.00072445622273,37.57060130213971
서울 종로구 창신동 148-1,음식점 > 아시아음식 > 인도음식,에베레스트 동대문점,http://place.map.kakao.com/77215610,127.012501727076,37.5725720198514
서울 종로구 창신동 581-5,"음식점 > 한식 > 육류,고기 > 족발,보쌈",창신동매운족발 본점,http://place.map.kakao.com/19009881,127.011541864608,37.5730081991709
서울 종로구 종로6가 205-1,음식점 > 한식,양지식당,http://place.map.kakao.com/2122475581,127.006973201937,37.5739347801794
서울 종로구 창신동 573-1,"음식점 > 한식 > 육류,고기 > 족발,보쌈",와글와글족발,http://place.map.kakao.com/10624973,127.01082181764772,37.572348739029074
서울 종로구 창신동 330-53,음식점 > 양식 > 피자,동묘가라지,http://place.map.kakao.com/981603762,127.01455726998316,37.571771700647226
서울 중구 을지로6가 18-85,음식점 > 한식 > 해장국,대화정진짜해장국,http://place.map.kakao.com/8895765,127.00776494708424,37.56753766409837
서울 종로구 창신동 330-49,"음식점 > 한식 > 해물,생선",동묘집,http://place.map.kakao.com/706318241,127.014787045463,37.5716878795415
서울 종로구 창신동 463-1,음식점 > 중식,동북화과왕,http://place.map.kakao.com/7838808,127.010798982201,37.570993644401
서울 종로구 창신동 400-1,"음식점 > 한식 > 해물,생선",광주식당,http://place.map.kakao.com/1407123477,127.01753642468066,37.57084146864495
서울 종로구 창신동 542,음식점 > 아시아음식 > 인도음식,에베레스트커리월드 레스토랑,http://place.map.kakao.com/12411385,127.01156888931436,37.57208197364034
서울 종로구 종로6가 259-3,음식점 > 중식 > 중국요리,유진짬뽕,http://place.map.kakao.com/72635988,127.00658802693,37.5706371603496
서울 종로구 창신동 695-1,"음식점 > 한식 > 해물,생선 > 복어",동래복국 동대문점,http://place.map.kakao.com/474505099,127.01011084799,37.5717541452946
서울 종로구 창신동 81-8,음식점 > 한식 > 냉면,낙산냉면,http://place.map.kakao.com/11021281,127.015277764702,37.5744890103185
서울 종로구 숭인동 318-16,"음식점 > 한식 > 육류,고기",고바우,http://place.map.kakao.com/16647761,127.015988004763,37.5713570577762
서울 동대문구 신설동 80-4,음식점 > 분식,킹 수제만두,http://place.map.kakao.com/1731584284,127.024144402603,37.5764841338019
서울 중구 황학동 67,음식점 > 한식 > 국수 > 칼국수,할아버지손칼국수,http://place.map.kakao.com/18215604,127.019392674872,37.5701672338123
서울 종로구 창신동 400-3,음식점 > 분식,고기튀김,http://place.map.kakao.com/26559648,127.0167417118429,37.57051812670501
서울 종로구 창신동 394-1,"음식점 > 한식 > 해물,생선",목포낙지마을,http://place.map.kakao.com/581997679,127.01600603074,37.5709570134502
서울 종로구 창신동 330-49,음식점 > 중식,동묘문,http://place.map.kakao.com/1970014839,127.01478138610084,37.571690583235714
서울 종로구 창신동 330-53,음식점 > 술집 > 와인바,동묘마케트,http://place.map.kakao.com/1700724209,127.014534631773,37.5717789113977
서울 동대문구 신설동 92-79,"음식점 > 한식 > 육류,고기",육전식당 신설본점,http://place.map.kakao.com/10331494,127.02698160012264,37.57411029968683
서울 동대문구 신설동 21,음식점 > 한식,한상차림밥상,http://place.map.kakao.com/2108354197,127.0259414485752,37.57786677881891
서울 동대문구 용두동 232-26,음식점 > 한식 > 해장국,어머니대성집,http://place.map.kakao.com/907979960,127.02858466713236,37.57741837425039
서울 동대문구 용두동 119-20,"음식점 > 한식 > 해물,생선",나정순할매쭈꾸미,http://place.map.kakao.com/27175293,127.03069016915066,37.57707546781634
서울 종로구 숭인동 1063,"음식점 > 한식 > 육류,고기 > 이차돌",이차돌 신설동점,http://place.map.kakao.com/96981032,127.02208372959927,37.57533757128547
서울 동대문구 신설동 117-5,"음식점 > 한식 > 해물,생선 > 장어",힘찬풍천장어,http://place.map.kakao.com/1861167965,127.02354366144988,37.57409031251531
서울 동대문구 용두동 112-10,"음식점 > 한식 > 해물,생선 > 복어",용두동복집,http://place.map.kakao.com/16675792,127.031331083865,37.5774771428975
서울 동대문구 신설동 94-57,음식점 > 한식 > 설렁탕,옥천옥,http://place.map.kakao.com/22618131,127.0269980020464,37.57250832703463
서울 종로구 숭인동 1136,"음식점 > 양식 > 멕시칸,브라질",꿰레,http://place.map.kakao.com/325095246,127.02255041334716,37.5762844282865
서울 동대문구 신설동 117-6,음식점 > 중식 > 중국요리,남화루,http://place.map.kakao.com/8881613,127.02368166606276,37.57377043175872
서울 동대문구 용두동 210-8,음식점 > 일식,무명스키야키,http://place.map.kakao.com/622602624,127.02829305845648,37.57864559854304
서울 동대문구 용두동 118-81,"음식점 > 한식 > 육류,고기 > 갈비",신가네왕코등갈비 본점,http://place.map.kakao.com/13121379,127.03098100898,37.57410210989243
서울 동대문구 제기동 892-128,음식점 > 한식,감초식당,http://place.map.kakao.com/21232071,127.03632119077804,37.57971738621976
서울 동대문구 제기동 1019,음식점 > 한식 > 국수,안동집,http://place.map.kakao.com/15629433,127.03953845008228,37.579393796655545
서울 동대문구 제기동 1013,음식점 > 한식 > 냉면,경동시장 평양냉면,http://place.map.kakao.com/810920158,127.040075960828,37.5789557323408
서울 동대문구 용두동 45-1,"음식점 > 한식 > 육류,고기",경동한우정육식당,http://place.map.kakao.com/989717069,127.0380124737654,37.57734183337136
서울 동대문구 제기동 1005,"음식점 > 한식 > 해물,생선",다퍼줘,http://place.map.kakao.com/1116271250,127.04058538132972,37.57891951853809
서울 동대문구 용두동 39-1,음식점 > 뷔페,다이닝원 청량리점,http://place.map.kakao.com/1828440280,127.042837477544,37.5775924594689
서울 성동구 마장동 522-2,"음식점 > 한식 > 육류,고기",인생한우,http://place.map.kakao.com/1539453182,127.038201250056,37.5701482300044
서울 동대문구 제기동 838,음식점 > 중식,홍릉각,http://place.map.kakao.com/8620226,127.03996258689769,37.58288320227021
서울 동대문구 제기동 646,음식점 > 한식,포천메밀냉면,http://place.map.kakao.com/16297405,127.041457987686,37.58053920227584
서울 동대문구 청량리동 444-7,음식점 > 한식 > 국수 > 칼국수,경북손칼국수,http://place.map.kakao.com/11833610,127.04621222556524,37.58133932120362
